artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
britney spears,oops!...i did it again,211160,False,2000,77,77.02564102564102,83.48348348348348,1,-5.444,0,7.586805555555556,33.59462486002239,1.77e-05,41.61781946072685,91.88078108941419,95.053,pop,3.519333333333333
blink-182,all the small things,167066,False,1999,79,44.51282051282051,89.7897897897898,0,-4.918,1,8.472222222222223,1.1534154535274355,0.0,71.74677608440797,70.29804727646454,148.726,rock,2.7844333333333333
faith hill,breathe,250546,False,1999,66,54.25641025641026,49.64964964964965,7,-9.007,1,5.034722222222223,19.372900335946248,0.0,29.425556858147715,28.571428571428577,136.859,pop,4.175766666666667
bon jovi,it's my life,224493,False,2000,78,56.51282051282052,91.3913913913914,0,-4.063,0,8.090277777777779,2.9451287793952967,1.35e-05,40.6799531066823,55.909558067831455,119.992,rock,3.74155
*nsync,bye bye bye,200560,False,2000,65,62.97435897435898,92.8928928928929,8,-4.806,0,8.958333333333334,4.568868980963046,0.00104,9.906213364595546,90.33915724563208,172.656,pop,3.3426666666666667
sisqo,thong song,253733,True,1999,69,72.41025641025641,88.8888888888889,2,-6.959,1,11.354166666666668,13.325867861142216,9.64e-05,8.206330597889803,73.38129496402878,121.549,hip hop,4.228883333333333
eminem,the real slim shady,284200,True,2000,86,97.33333333333333,66.16616616616618,5,-4.244,0,9.930555555555557,3.381858902575588,0.0,5.3223915592028135,78.10894141829394,104.504,hip hop,4.736666666666666
robbie williams,rock dj,258560,False,2000,68,72.61538461538461,77.27727727727728,7,-4.264,1,5.590277777777778,2.9899216125419934,0.0,54.747948417350536,88.48920863309353,103.035,pop,4.309333333333333
destiny's child,say my name,271333,False,1999,75,73.12820512820512,67.86786786786787,5,-3.525,0,17.708333333333336,30.57110862262038,0.0,17.46776084407972,75.43679342240493,138.009,pop,4.522216666666667
modjo,lady - hear me tonight,307153,False,2001,77,73.84615384615385,80.8808808808809,6,-5.627,1,6.5798611111111125,0.8880179171332585,0.0293,7.432590855803048,89.31140801644399,126.041,Dance/Electronic,5.1192166666666665
